original,compare,original_photo,compare_photo,distance
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Jo%C3%A3o_Pessoa_Cavalcanti_de_Albuquerque.jpg,0.9629086181521416
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Marcelo_Calero_conhece_o_S%C3%A3o_Jo%C3%A3o_de_Campina_Grande_%2827586988420%29.jpg,0.878150224685669
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Mausol%C3%A9u_de_Jo%C3%A3o_Pessoa%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,0.8490418642759323
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Novo_mapa_Capitanias.jpg,0.893810361623764
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Para%C3%ADba_K%C3%B6ppen.svg.png,0.898542158305645
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_in_Brazil.svg.png,0.88218604773283
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Patos%2CPB_118.jpg,0.8664681762456894
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Pedras_da_Boca_e_da_Caveira_vistas_da_Pedra_do_Lagarto._Parque_Estadual_da_Pedra_da_Boca%2C_Araruna%2C_PB_1.jpg,0.8318910449743271
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Praia_da_Ponta_do_Seixas_e_Esta%C3%A7%C3%A3o_Cabo_Branco%2C_Jo%C3%A3o_Pessoa.jpg,0.868133157491684
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Presidente_Castro_Pinto_International_Airport.jpg,0.9018137976527214
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-View_of_Frederiksstad_in_Paraiba%2C_Brazil_1638_Frans_Post.jpg,0.8544632792472839
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Aldeia_camurupim.jpg,0.7400171160697937
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Brazil_Paraiba_location_map.svg.png,0.8959404155611992
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_in_Brazil.svg.png,0.88218604773283
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Patos12.jpg,0.9044275134801865
pt,es,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Serra_da_Copa%C3%B3ba_1.jpg,0.7425415515899658
pt,de,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,de,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Get%C3%BAlio_Vargas_e_Jo%C3%A3o_Pessoa.jpg,0.9128599315881729
pt,de,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Jo%C3%A3o-Pessoa-Bairro-Tamba%C3%BA.jpg,0.8575777113437653
pt,de,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_DensidadeDemografica.svg.png,0.902395449578762
